tr_now,tr_next,te_now,te_next
700.68,2153.04,-2974.51,3546.76
-501.01,3039.47,971.93,-1007.68
3039.47,-1603.29,1024.9,-3467.3
-4157.41,800.59,-2769.88,647.69
800.59,-655.8,2249.8,3235.27
-1339.27,-4095.13,4706.7,-2236.78
-4095.13,-4564.85,435.76,1689.52
4829.69,-1675.39,3885.76,2458.0
-1675.39,2117.97,-289.47,1519.03
301.85,-213.52,502.77,2204.32
-213.52,2720.15,6131.32,1879.59
-1742.35,179.07,-1571.62,1578.64
179.07,3443.14,-4152.57,-8990.75
-1836.52,-2724.22,-10934.67,-6468.18
-2724.22,-825.61,1615.59,5481.9
5264.36,1906.83,97.33,1023.78
1906.83,632.08,1348.33,2127.53
-1139.6,1803.79,3540.81,-496.38
1803.79,-20.04,-32.99,2238.32
-4101.51,1184.91,,
1184.91,-1452.61,,
-1283.05,-3559.94,,
-3559.94,2002.92,,
-1599.12,-1084.61,,
-1084.61,3473.46,,
-269.64,-362.82,,
-362.82,3902.4,,
-63.9,1278.89,,
1278.89,-763.36,,
-1723.51,-121.62,,
-121.62,-898.97,,
-5014.18,-1373.13,,
-1373.13,-3984.96,,
2180.01,1729.18,,
1729.18,-2462.54,,
-1113.79,664.72,,
664.72,-1219.69,,
2719.24,707.39,,
707.39,-3519.95,,
1740.11,1272.4,,
1272.4,2481.55,,
2030.63,3740.35,,
3740.35,-1419.12,,
865.36,-260.43,,
-260.43,2942.71,,
648.28,-245.64,,
-245.64,-6873.63,,
-1223.28,-1602.23,,
-1602.23,1495.4,,
191.44,-1633.68,,
-1633.68,-1037.74,,
-1080.18,2493.66,,
2493.66,-100.93,,
4199.29,-9017.46,,
-9017.46,2982.88,,
-162.18,814.96,,
814.96,-573.71,,
-595.94,137.46,,
137.46,-279.25,,
-1121.39,3244.44,,
3244.44,244.87,,
1051.87,-742.64,,
-742.64,1425.2,,
-909.21,-4291.78,,
-4291.78,-27.34,,
241.84,-1517.13,,
-1517.13,-1608.74,,
2658.63,2242.52,,
2242.52,-769.29,,
1052.66,-800.63,,
-800.63,4737.42,,
1404.7,397.88,,
397.88,4719.45,,
-1648.64,1098.89,,
1098.89,-1200.27,,
1305.37,-453.75,,
-453.75,940.84,,
121.12,-1343.27,,
-1343.27,-523.14,,
1297.91,1692.6,,
1692.6,1735.3,,
-1065.65,663.72,,
663.72,-421.95,,
1677.96,1172.45,,
1172.45,-207.59,,
-722.5,902.7,,
902.7,1001.25,,
