"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"12.04.2015","63,45","58,02","64,95","57,46","760,90K","9,64%"
"05.04.2015","57,87","55,18","59,27","55,08","926,55K","5,31%"
"29.03.2015","54,95","55,96","57,69","54,00","1,00M","-2,59%"
"22.03.2015","56,41","55,24","59,78","54,12","1,20M","1,97%"
"15.03.2015","55,32","54,41","56,84","52,50","914,68K","1,19%"
"08.03.2015","54,67","59,62","60,02","54,43","776,44K","-8,47%"
"01.03.2015","59,73","62,50","62,50","59,17","1,22M","-4,55%"
"22.02.2015","62,58","60,30","62,83","58,10","1,31M","3,92%"
"15.02.2015","60,22","61,49","63,00","57,80","1,20M","-2,11%"
"08.02.2015","61,52","57,93","61,77","53,91","852,51K","6,44%"
"01.02.2015","57,80","52,68","59,06","51,41","1,77M","9,08%"
"25.01.2015","52,99","48,56","53,08","47,57","1,34M","8,61%"
"18.01.2015","48,79","50,10","50,45","47,78","1,20M","-2,75%"
"11.01.2015","50,17","49,93","50,62","45,19","865,74K","0,12%"
"04.01.2015","50,11","56,25","56,30","48,90","1,48M","-11,18%"
"28.12.2014","56,42","59,65","60,43","55,48","635,34K","-5,10%"
"21.12.2014","59,45","61,99","62,97","59,21","513,11K","-3,14%"
"14.12.2014","61,38","61,20","63,70","58,50","948,60K","-0,76%"
"07.12.2014","61,85","68,79","68,79","61,35","971,34K","-10,45%"
"30.11.2014","69,07","70,15","73,03","67,53","1,25M","-1,54%"
"23.11.2014","70,15","80,50","80,85","69,78","1,12M","-12,71%"
"16.11.2014","80,36","79,50","81,61","77,56","1,12M","1,20%"
"09.11.2014","79,41","83,26","84,97","76,76","838,85K","-4,77%"
"02.11.2014","83,39","85,85","86,40","81,63","1,35M","-2,88%"
"26.10.2014","85,86","86,08","87,94","84,55","1,09M","-0,31%"
"19.10.2014","86,13","86,35","87,19","84,12","1,29M","-0,03%"
"12.10.2014","86,16","89,89","90,18","82,60","670,08K","-4,49%"
"05.10.2014","90,21","91,90","93,21","88,11","1,05M","-2,27%"
"28.09.2014","92,31","96,81","97,80","91,48","1,21M","-4,84%"
"21.09.2014","97,00","98,50","98,50","95,60","936,17K","-1,41%"
"14.09.2014","98,39","96,90","99,61","96,21","761,86K","1,32%"
"07.09.2014","97,11","100,80","101,00","96,72","821,66K","-3,68%"
"31.08.2014","100,82","102,95","103,30","100,17","971,41K","-2,30%"
"24.08.2014","103,19","102,10","103,40","101,65","733,11K","0,88%"
"17.08.2014","102,29","103,21","103,30","101,07","836,50K","-1,20%"
"10.08.2014","103,53","105,00","105,43","101,92","600,82K","-1,42%"
"03.08.2014","105,02","104,82","106,85","104,07","1,02M","0,17%"
"27.07.2014","104,84","108,30","108,38","104,39","985,45K","-3,28%"
"20.07.2014","108,39","107,15","108,46","106,73","1,03M","1,07%"
"13.07.2014","107,24","106,42","108,62","104,39","681,97K","0,54%"
"06.07.2014","106,66","110,65","110,92","106,27","881,92K","-3,60%"
"29.06.2014","110,64","113,30","113,30","110,53","1,01M","-2,35%"
"22.06.2014","113,30","114,99","115,66","112,90","979,68K","-1,32%"
"15.06.2014","114,81","112,73","115,71","112,16","1,11M","1,23%"
"08.06.2014","113,41","108,68","114,69","108,55","684,82K","4,42%"
"01.06.2014","108,61","109,70","109,87","107,77","931,33K","-0,73%"
"25.05.2014","109,41","110,40","110,80","109,22","727,76K","-1,02%"
"18.05.2014","110,54","109,82","111,04","109,10","908,24K","0,72%"
"11.05.2014","109,75","107,94","110,60","107,94","641,84K","1,72%"
"04.05.2014","107,89","108,92","109,02","106,96","894,32K","-0,64%"
"27.04.2014","108,59","109,50","110,20","106,85","1,07M","-0,90%"
"20.04.2014","109,58","109,76","110,65","108,53","886,36K","0,05%"
"13.04.2014","109,53","107,42","110,36","107,26","508,72K","2,05%"
"06.04.2014","107,33","106,35","108,14","105,13","783,50K","0,57%"
"30.03.2014","106,72","108,00","108,33","103,95","1,02M","-1,25%"
"23.03.2014","108,07","107,01","108,39","106,44","801,44K","1,08%"
"16.03.2014","106,92","108,55","108,60","105,41","898,29K","-1,52%"
"09.03.2014","108,57","108,73","108,85","106,98","554,56K","-0,39%"
"02.03.2014","109,00","109,44","112,39","107,37","1,13M","-0,06%"
"23.02.2014","109,07","109,65","110,77","108,40","969,85K","-0,71%"
"16.02.2014","109,85","109,13","110,82","108,64","676,67K","0,71%"
"09.02.2014","109,08","109,75","109,75","107,85","570,64K","-0,45%"
"02.02.2014","109,57","106,40","109,74","105,40","1,07M","2,98%"
"26.01.2014","106,40","107,91","108,40","106,30","1,02M","-1,37%"
"19.01.2014","107,88","106,28","108,33","105,81","1,03M","1,31%"
"12.01.2014","106,48","107,25","107,64","105,44","546,84K","-0,72%"
"05.01.2014","107,25","106,80","108,20","106,03","929,50K","0,34%"
"29.12.2013","106,89","112,20","112,64","106,79","587,84K","-4,72%"
"22.12.2013","112,18","111,55","112,80","111,27","326,41K","0,37%"
"15.12.2013","111,77","109,15","111,89","107,80","690,62K","2,70%"
"08.12.2013","108,83","111,69","111,79","108,02","818,58K","-2,49%"
"01.12.2013","111,61","109,60","113,02","109,28","1,07M","1,75%"
"24.11.2013","109,69","109,00","111,66","108,05","861,07K","-1,22%"
"17.11.2013","111,05","108,50","111,40","106,51","1,16M","2,35%"
"10.11.2013","108,50","105,17","108,96","105,15","662,84K","3,22%"
"03.11.2013","105,12","105,78","106,58","102,98","1,20M","-0,75%"
"27.10.2013","105,91","107,04","110,16","105,78","1,22M","-0,95%"
"20.10.2013","106,93","109,96","110,94","106,27","1,21M","-2,74%"
"13.10.2013","109,94","110,87","111,41","108,71","631,17K","-1,20%"
"06.10.2013","111,28","109,21","112,00","107,89","916,38K","1,66%"
"29.09.2013","109,46","108,20","109,85","106,81","872,54K","0,76%"
"22.09.2013","108,63","109,22","110,09","107,43","912,17K","-0,54%"
"15.09.2013","109,22","111,25","111,49","107,41","1,03M","-3,16%"
"08.09.2013","112,78","115,93","116,18","110,59","598,15K","-2,88%"
"01.09.2013","116,12","114,00","116,56","112,20","855,45K","1,85%"
"25.08.2013","114,01","111,15","117,34","110,50","1,16M","2,67%"
"18.08.2013","111,04","110,53","111,23","108,61","991,42K","0,58%"
"11.08.2013","110,40","108,13","111,53","107,43","573,10K","2,01%"
"04.08.2013","108,22","109,09","109,44","105,85","930,58K","-0,67%"
"28.07.2013","108,95","107,19","110,09","105,73","957,10K","1,66%"
"21.07.2013","107,17","108,30","108,68","106,25","882,47K","-0,83%"
"14.07.2013","108,07","108,99","109,72","107,01","713,03K","-0,68%"
"07.07.2013","108,81","108,00","109,14","106,79","861,68K","1,01%"
"30.06.2013","107,72","101,90","107,88","101,63","990,53K","5,44%"
"23.06.2013","102,16","100,61","103,44","99,67","1,05M","1,24%"
"16.06.2013","100,91","105,77","106,67","100,04","1,04M","-4,74%"
"09.06.2013","105,93","104,56","106,64","101,82","629,16K","1,31%"
"02.06.2013","104,56","100,15","105,01","99,66","1,17M","4,15%"
"26.05.2013","100,39","102,52","104,69","100,03","874,08K","-2,19%"
"19.05.2013","102,64","104,75","105,31","100,64","918,43K","-1,91%"
"12.05.2013","104,64","103,26","104,87","101,20","660,20K","0,70%"
"05.05.2013","103,91","104,25","105,94","101,56","1,04M","-0,27%"
"28.04.2013","104,19","102,79","104,92","98,76","1,27M","1,00%"
"21.04.2013","103,16","99,56","103,49","98,78","1,13M","3,52%"
"14.04.2013","99,65","103,03","103,09","96,75","1,13M","-3,36%"
"07.04.2013","103,11","104,28","106,50","101,09","793,40K","-0,97%"
"31.03.2013","104,12","110,15","111,79","103,62","1,17M","-5,36%"
"24.03.2013","110,02","106,86","110,10","106,80","789,13K","2,19%"
"17.03.2013","107,66","109,83","109,83","106,90","941,94K","-1,97%"
"10.03.2013","109,82","110,67","111,20","107,91","621,43K","-0,93%"
"03.03.2013","110,85","110,58","112,23","109,14","1,10M","0,41%"
"24.02.2013","110,40","114,19","115,87","109,82","1,14M","-3,24%"
"17.02.2013","114,10","117,81","118,19","113,32","836,79K","-3,03%"
"10.02.2013","117,66","118,90","119,12","116,28","670,44K","-1,04%"
"03.02.2013","118,90","116,50","119,17","115,01","1,10M","1,83%"
"27.01.2013","116,76","113,45","117,07","112,60","1,02M","3,07%"
"20.01.2013","113,28","111,67","113,84","111,35","938,08K","1,24%"
"13.01.2013","111,89","110,62","112,46","109,45","619,99K","1,13%"
"06.01.2013","110,64","111,42","113,29","109,60","934,49K","-0,60%"
"30.12.2012","111,31","110,35","112,90","109,38","663,44K","0,62%"
